Username,CreatedAt,AvatarUrl,Id,Contributions,JavaScript,Python,Java,C#,PHP,TypeScript,Ruby,C++,C,Swift,Go,Shell,Kotlin,Rust,PowerShell,Objective-C,R,MATLAB,Dart,Vue,Assembly,Sass,CSS,HTML,Pascal,Racket,Zig,Other
dalbert,2008-04-10T13:14:37Z,https://avatars.githubusercontent.com/u/6168?v=4,2,98,0,0,0,0,0,0,424,0,0,0,104154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11945
ferrisoxide,2008-04-10T13:52:00Z,https://avatars.githubusercontent.com/u/6169?v=4,1,59,5111,0,0,0,0,0,109716,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,871,46251,0,0,0,0
botanicus,2008-04-10T14:39:59Z,https://avatars.githubusercontent.com/u/6171?u=acd574044d2e34890978ae129a1eb89a9ff75cd4&v=4,1,0,0,0,0,0,0,0,700894,0,0,0,0,2578,0,0,0,0,0,0,0,0,0,0,0,3065,0,0,0,1431
carllerche,2008-04-10T17:55:54Z,https://avatars.githubusercontent.com/u/6180?u=ea7e0c429239ff142185c1e2825eba5ec0454db8&v=4,1,618,0,7530,0,0,0,0,0,0,0,0,0,8337,0,7169066,0,0,0,0,0,0,0,0,0,0,0,0,0,1799
tadman,2008-04-10T18:09:41Z,https://avatars.githubusercontent.com/u/6184?v=4,2,1362,4271,0,0,0,0,0,148609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chrismear,2008-04-10T18:13:26Z,https://avatars.githubusercontent.com/u/6186?u=5792340e53cde901d6a877df965a4c08e227d757&v=4,2,595,1259,0,0,0,0,0,23453,0,0,4179,0,0,0,0,0,0,0,0,0,0,0,0,0,12385,0,0,0,174
anandology,2008-04-16T14:03:15Z,https://avatars.githubusercontent.com/u/7569?v=4,2,452,477,96649,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,488946
majormajors,2008-04-16T14:35:51Z,https://avatars.githubusercontent.com/u/7573?u=3253f3fdeeb41468eba8a7741aaaeb9533fcc55e&v=4,1,66,0,0,0,0,0,0,26107,6579,314,0,0,6416,0,0,0,0,0,0,0,0,0,0,18968,4950,0,0,0,142898
analogrelay,2008-04-16T14:40:04Z,https://avatars.githubusercontent.com/u/7574?u=b848e3d187c319c762e377195ebf93de5c6537b1&v=4,1,2938,823182,19490,1080,63888067,0,67470,254,1288898,132162,4317,93140,193895,15705,32899,322720,0,0,0,0,0,0,0,225638,3714167,0,0,0,129021
pzingg,2008-04-16T15:15:59Z,https://avatars.githubusercontent.com/u/7576?v=4,2,224,8799,0,0,0,0,0,0,0,0,0,0,2938,0,161628,0,0,0,0,0,0,0,0,16649,54079,0,0,0,493990
